account_id,customer_id,branch_id,account_type,balance
5109,1880,216,Current,289000
5110,1704,220,Current,21000
5111,1559,213,Current,447000
5112,1849,208,Current,409000
5113,1210,203,Savings,294000
5114,1744,218,Current,462000
5115,1469,206,Savings,378000
5116,1121,220,Current,277000
5117,1292,217,Current,262000
5118,1844,220,Savings,13000
5119,1217,217,Savings,341000
5120,1554,204,Savings,436000
5121,1188,209,Current,382000
5122,1828,213,Savings,290000
5123,1395,208,Current,236000
5124,1650,206,Current,213000
5125,1981,205,Current,386000
5126,1594,201,Current,203000
5127,1025,207,Current,465000
5128,1629,205,Savings,224000
5129,1830,218,Savings,122000
5130,1705,210,Savings,207000
5131,1004,220,Savings,439000
5132,1949,206,Current,288000
5133,1276,205,Current,467000
5134,1247,205,Current,381000
5135,1322,208,Current,180000
5136,1107,204,Current,481000
5137,1742,208,Savings,22000
5138,1798,209,Current,90000
5139,1507,205,Savings,245000
5140,1969,213,Current,198000
5141,1798,205,Savings,19000
5142,1886,202,Current,476000
5143,1925,210,Savings,216000
5144,1032,210,Savings,330000
5145,1939,214,Savings,265000
5146,1699,202,Savings,405000
5147,1111,206,Savings,418000
5148,1044,216,Current,231000
5149,1409,217,Savings,287000
5150,1922,211,Savings,412000
5151,1272,218,Savings,261000
5152,1797,213,Current,360000
5153,1077,220,Current,166000
5154,1689,219,Current,124000
5155,1348,219,Savings,114000
5156,1726,202,Current,184000
5157,1395,209,Current,74000
5158,1270,206,Current,365000
5159,1864,212,Current,211000
5160,1832,205,Current,195000
5161,1642,215,Current,42000
5162,1441,204,Current,248000
5163,1647,201,Current,227000
5164,1930,206,Current,156000
5165,1933,207,Savings,462000
5166,1001,202,Savings,309000
5167,1750,215,Savings,442000
5168,1946,201,Savings,76000
5169,1298,204,Current,197000
5170,1100,212,Savings,429000
5171,1262,208,Savings,95000
5172,1076,216,Current,88000
5173,1255,211,Current,30000
5174,1161,203,Savings,147000
5175,1102,206,Savings,18000
5176,1026,217,Current,283000
5177,1618,204,Current,5000
5178,1494,202,Savings,15000
5179,1515,202,Savings,485000
5180,1793,212,Savings,303000
5181,1831,213,Current,329000
5182,1753,211,Current,344000
5183,1975,213,Savings,463000
5184,1198,201,Current,103000
5185,1292,208,Savings,350000
5186,1741,215,Current,128000
5187,1113,207,Savings,276000
5188,1307,203,Savings,469000
5189,1172,220,Savings,420000
5190,1539,219,Current,198000
5191,1110,216,Savings,45000
5192,1022,206,Current,53000
5193,1594,216,Current,388000
5194,1593,203,Current,445000
5195,1716,215,Current,389000
5196,1777,215,Current,431000
5197,1773,210,Current,269000
5198,1013,206,Savings,306000
5199,1158,212,Current,306000
5200,1955,204,Current,363000
5201,1718,204,Savings,484000
5202,1039,205,Savings,182000
5203,1174,214,Savings,31000
5204,1684,203,Savings,107000
5205,1073,216,Current,456000
5206,1809,216,Savings,364000
5207,1836,213,Current,359000
5208,1754,207,Savings,399000
5209,1983,208,Current,129000
5210,1787,202,Savings,387000
5211,1704,214,Current,321000
5212,1227,219,Current,6000
5213,1492,207,Savings,51000
5214,1474,214,Savings,474000
5215,1752,207,Current,139000
5216,1382,214,Savings,305000
5217,1418,217,Current,297000
5218,1596,206,Savings,141000
5219,1382,207,Current,119000
5220,1122,207,Current,14000
5221,1713,202,Current,419000
5222,1204,206,Savings,161000
5223,1148,218,Savings,249000
5224,1662,214,Savings,360000
5225,1495,201,Current,289000
5226,1620,205,Current,354000
5227,1250,206,Savings,494000
5228,1899,215,Savings,364000
5229,1252,215,Savings,99000
5230,1066,207,Current,75000
5231,1876,204,Savings,86000
5232,1015,203,Savings,12000
5233,1974,207,Current,481000
5234,1313,205,Current,109000
5235,1718,201,Savings,285000
5236,1759,218,Savings,433000
5237,1100,205,Savings,220000
5238,1248,219,Savings,297000
5239,1713,209,Savings,73000
5240,1017,208,Savings,393000
5241,1578,206,Savings,153000
5242,1440,213,Current,93000
5243,1552,214,Savings,322000
5244,1621,205,Savings,84000
5245,1134,207,Current,149000
5246,1683,213,Current,322000
5247,1439,210,Savings,194000
5248,1579,204,Current,440000
5249,1163,210,Current,439000
5250,1140,208,Current,337000
5251,1846,217,Current,56000
5252,1840,216,Savings,83000
5253,1527,212,Savings,353000
5254,1808,218,Current,42000
5255,1047,217,Current,43000
5256,1832,211,Savings,444000
5257,1608,205,Savings,341000
5258,1608,207,Current,428000
5259,1757,211,Current,443000
5260,1640,215,Current,168000
5261,1876,211,Savings,212000
5262,1116,211,Savings,230000
5263,1667,214,Savings,257000
5264,1537,220,Current,241000
5265,1360,214,Savings,19000
5266,1469,202,Current,459000
5267,1643,208,Savings,452000
5268,1741,219,Savings,295000
5269,1775,209,Current,101000
5270,1272,208,Savings,31000
5271,1391,208,Savings,423000
5272,1032,204,Savings,352000
5273,1918,216,Current,153000
5274,1531,217,Savings,261000
5275,1558,215,Savings,343000
5276,1216,213,Savings,227000
5277,1585,207,Savings,406000
5278,1840,212,Current,487000
5279,1856,219,Savings,146000
5280,1848,204,Savings,39000
5281,1150,205,Current,448000
5282,1277,208,Savings,324000
5283,1943,210,Current,306000
5284,1163,203,Current,8000
5285,1248,211,Savings,194000
5286,1660,215,Current,315000
5287,1146,203,Current,190000
5288,1655,220,Current,346000
5289,1408,208,Savings,64000
5290,1606,218,Current,397000
5291,1067,213,Savings,173000
5292,1180,208,Current,93000
5293,1044,212,Current,189000
5294,1021,207,Current,91000
5295,1188,216,Current,310000
5296,1649,204,Savings,46000
5297,1653,207,Savings,279000
5298,1705,215,Current,214000
5299,1508,204,Current,447000
5300,1728,210,Current,451000
5301,1875,202,Current,460000
5302,1959,217,Savings,142000
5303,1583,220,Savings,217000
5304,1443,204,Current,208000
5305,1057,217,Savings,347000
5306,1581,207,Current,76000
5307,1804,220,Savings,382000
5308,1334,204,Savings,244000
5309,1265,212,Current,109000
5310,1451,208,Current,6000
5311,1111,217,Current,123000
5312,1635,215,Savings,49000
5313,1836,204,Savings,468000
5314,1287,220,Current,438000
5315,1977,210,Savings,140000
5316,1428,214,Current,10000
5317,1222,203,Savings,314000
5318,1393,217,Current,209000
5319,1081,214,Current,488000
5320,1911,218,Savings,389000
5321,1448,217,Savings,242000
5322,1705,206,Savings,224000
5323,1114,213,Current,197000
5324,1960,202,Savings,127000
5325,1288,217,Current,171000
5326,1033,201,Savings,244000
5327,1889,202,Current,461000
5328,1920,204,Savings,157000
5329,1252,204,Savings,483000
5330,1436,201,Current,135000
5331,1714,210,Savings,471000
5332,1862,217,Current,458000
5333,1965,203,Current,487000
5334,1694,215,Savings,29000
5335,1486,211,Savings,455000
5336,1330,219,Current,41000
5337,1224,206,Savings,150000
5338,1411,214,Current,448000
5339,1133,206,Current,191000
5340,1609,204,Current,52000
5341,1986,207,Savings,426000
5342,1426,205,Current,65000
5343,1160,218,Savings,72000
5344,1545,216,Savings,148000
5345,1055,208,Current,222000
5346,1530,212,Current,482000
5347,1660,212,Savings,394000
5348,1386,215,Savings,161000
5349,1564,217,Savings,364000
5350,1717,201,Current,259000
5351,1118,205,Current,228000
5352,1648,212,Savings,421000
5353,1003,216,Current,475000
5354,1312,210,Savings,276000
5355,1712,219,Current,117000
5356,1308,208,Savings,384000
5357,1134,202,Current,207000
5358,1951,207,Current,461000
5359,1577,204,Savings,77000
5360,1222,202,Current,31000
5361,1015,215,Current,251000
5362,1151,203,Current,483000
5363,1841,214,Current,263000
5364,1251,214,Current,387000
5365,1441,220,Current,363000
5366,1802,220,Current,180000
5367,1957,209,Current,326000
5368,1020,202,Current,363000
5369,1218,202,Savings,397000
5370,1655,212,Savings,70000
5371,1614,206,Current,20000
5372,1183,206,Current,234000
5373,1913,211,Savings,208000
5374,1435,208,Savings,86000
5375,1733,216,Savings,419000
5376,1919,211,Current,306000
5377,1358,205,Savings,88000
5378,1238,214,Savings,350000
5379,1301,217,Current,46000
5380,1004,212,Current,210000
5381,1659,209,Savings,403000
5382,1347,207,Current,327000
5383,1786,217,Savings,154000
5384,1582,213,Current,156000
5385,1729,219,Current,392000
5386,1098,218,Current,264000
5387,1172,210,Current,495000
5388,1880,210,Savings,447000
5389,1792,220,Savings,365000
5390,1936,219,Current,390000
5391,1119,209,Savings,491000
5392,1960,218,Savings,418000
5393,1331,208,Current,213000
5394,1519,201,Current,497000
5395,1757,213,Savings,129000
5396,1366,206,Current,393000
5397,1552,207,Savings,5000
5398,1170,208,Savings,218000
5399,1819,212,Current,467000
5400,1210,212,Savings,26000
5401,1678,209,Savings,49000
5402,1882,207,Current,169000
5403,1113,207,Savings,389000
5404,1415,214,Current,27000
5405,1548,205,Current,171000
5406,1103,206,Savings,460000
5407,1484,204,Savings,390000
5408,1970,213,Current,148000
5409,1135,201,Savings,107000
5410,1119,207,Savings,21000
5411,1309,201,Current,457000
5412,1965,213,Current,439000
5413,1130,218,Current,215000
5414,1605,214,Current,177000
5415,1451,208,Savings,289000
5416,1119,210,Savings,377000
5417,1400,219,Current,339000
5418,1930,220,Savings,257000
5419,1652,202,Savings,299000
5420,1090,214,Savings,75000
5421,1240,218,Savings,9000
5422,1503,207,Current,286000
5423,1822,205,Savings,318000
5424,1414,210,Savings,38000
5425,1713,213,Current,397000
5426,1299,203,Current,27000
5427,1601,215,Savings,396000
5428,1429,201,Savings,79000
5429,1024,205,Savings,173000
5430,1025,211,Savings,172000
5431,1240,220,Savings,309000
5432,1859,217,Current,373000
5433,1005,218,Current,19000
5434,1737,208,Current,74000
5435,1593,208,Current,408000
5436,1127,208,Savings,435000
5437,1408,220,Savings,167000
5438,1784,204,Savings,339000
5439,1257,202,Savings,439000
5440,1690,220,Savings,368000
5441,1573,204,Savings,333000
5442,1410,213,Savings,309000
5443,1544,217,Current,357000
5444,1353,216,Current,293000
5445,1606,211,Savings,297000
5446,1066,213,Current,387000
5447,1296,218,Current,378000
5448,1849,208,Savings,357000
5449,1410,208,Savings,257000
5450,1904,206,Current,239000
5451,1442,210,Savings,48000
5452,1408,217,Current,315000
5453,1937,210,Current,184000
5454,1686,219,Savings,30000
5455,1287,205,Savings,268000
5456,1403,206,Savings,155000
5457,1810,209,Current,392000
5458,1478,211,Current,429000
5459,1450,210,Savings,230000
5460,1617,215,Savings,184000
5461,1924,219,Current,117000
5462,1482,216,Savings,200000
5463,1815,209,Savings,186000
5464,1375,206,Savings,120000
5465,1816,220,Savings,202000
5466,1716,209,Savings,421000
5467,1758,220,Savings,327000
5468,1797,210,Current,183000
5469,1389,210,Current,272000
5470,1630,203,Current,101000
5471,1860,206,Current,118000
5472,1276,217,Savings,120000
5473,1049,212,Current,270000
5474,1474,205,Savings,5000
5475,1696,220,Savings,350000
5476,1290,212,Current,183000
5477,1284,206,Savings,425000
5478,1302,220,Savings,123000
5479,1638,208,Savings,279000
5480,1567,211,Savings,53000
5481,1036,212,Savings,57000
5482,1906,211,Savings,191000
5483,1058,202,Savings,471000
5484,1053,216,Savings,14000
5485,1856,204,Savings,489000
5486,1391,208,Current,413000
5487,1319,220,Current,231000
5488,1348,216,Savings,472000
5489,1759,210,Current,277000
5490,1566,210,Savings,283000
5491,1552,211,Savings,25000
5492,1203,219,Savings,398000
5493,1935,204,Savings,266000
5494,1679,206,Current,423000
5495,1344,212,Current,16000
5496,1934,208,Current,255000
5497,1169,220,Current,327000
5498,1819,209,Current,391000
5499,1655,210,Savings,459000
5500,1664,217,Savings,68000
5501,1242,213,Current,443000
5502,1444,212,Savings,283000
5503,1753,205,Savings,99000
5504,1907,211,Savings,126000
5505,1977,203,Current,210000
5506,1442,209,Current,331000
5507,1399,205,Savings,135000
5508,1538,201,Current,85000
5509,1361,218,Savings,311000
5510,1244,215,Savings,292000
5511,1191,213,Current,382000
5512,1161,209,Current,276000
5513,1415,210,Savings,374000
5514,1591,212,Current,464000
5515,1135,208,Current,176000
5516,1767,201,Current,248000
5517,1749,203,Savings,245000
5518,1297,210,Current,215000
5519,1935,206,Current,71000
5520,1361,208,Savings,13000
5521,1669,204,Savings,285000
5522,1865,204,Current,241000
5523,1803,208,Savings,304000
5524,1406,207,Savings,438000
5525,1952,208,Current,196000
5526,1471,207,Current,40000
5527,1609,205,Current,209000
5528,1291,210,Savings,23000
5529,1365,209,Current,193000
5530,1330,204,Current,74000
5531,1412,218,Savings,114000
5532,1719,214,Savings,337000
5533,1157,218,Current,270000
5534,1384,204,Current,10000
5535,1368,216,Savings,358000
5536,1167,209,Current,191000
5537,1212,204,Savings,233000
5538,1149,213,Current,234000
5539,1754,206,Savings,431000
5540,1912,205,Current,271000
5541,1420,204,Savings,32000
5542,1848,204,Savings,73000
5543,1047,214,Savings,458000
5544,1212,201,Current,46000
5545,1328,205,Savings,35000
5546,1541,214,Current,315000
5547,1106,208,Savings,224000
5548,1322,205,Current,75000
5549,1939,211,Current,336000
5550,1733,205,Savings,348000
5551,1937,211,Current,212000
5552,1783,209,Savings,81000
5553,1085,210,Savings,249000
5554,1556,205,Savings,407000
5555,1603,201,Savings,162000
5556,1813,220,Current,29000
5557,1695,205,Current,349000
5558,1350,209,Savings,81000
5559,1420,203,Savings,442000
5560,1208,217,Current,438000
5561,1225,213,Current,47000
5562,1779,213,Current,45000
5563,1758,204,Current,279000
5564,1144,220,Current,483000
5565,1436,203,Current,476000
5566,1370,213,Savings,384000
5567,1818,211,Current,205000
5568,1728,202,Savings,17000
5569,1937,209,Current,62000
5570,1400,204,Savings,302000
5571,1831,216,Current,152000
5572,1375,210,Current,141000
5573,1848,218,Current,450000
5574,1519,215,Savings,392000
5575,1839,205,Current,454000
5576,1806,208,Savings,234000
5577,1724,211,Current,194000
5578,1301,204,Savings,250000
5579,1835,208,Savings,455000
5580,1657,218,Current,12000
5581,1845,213,Current,382000
5582,1657,219,Savings,61000
5583,1803,208,Current,422000
5584,1732,215,Current,325000
5585,1770,205,Current,242000
5586,1839,203,Savings,468000
5587,1198,213,Current,207000
5588,1263,218,Savings,68000
5589,1563,214,Current,304000
5590,1140,211,Current,418000
5591,1248,216,Savings,13000
5592,1806,213,Savings,209000
5593,1742,205,Savings,302000
5594,1987,205,Current,92000
5595,1415,203,Current,8000
5596,1857,203,Current,213000
5597,1135,209,Current,253000
5598,1086,204,Savings,178000
5599,1508,206,Current,346000
5600,1717,211,Savings,481000
5601,1465,207,Savings,488000
5602,1750,201,Savings,73000
5603,1071,208,Savings,180000
5604,1765,201,Current,327000
5605,1516,217,Current,379000
5606,1698,220,Current,235000
5607,1290,217,Savings,223000
5608,1390,216,Savings,468000
5609,1053,219,Savings,386000
5610,1646,209,Savings,7000
5611,1927,218,Current,322000
5612,1826,214,Current,377000
5613,1637,211,Savings,127000
5614,1432,205,Current,151000
5615,1693,212,Current,338000
5616,1413,214,Current,263000
5617,1994,218,Current,236000
5618,1404,201,Savings,475000
5619,1500,217,Savings,286000
5620,1181,216,Current,169000
5621,1800,217,Savings,48000
5622,1433,205,Current,146000
5623,1956,220,Savings,270000
5624,1762,208,Savings,416000
5625,1613,217,Savings,369000
5626,1290,217,Current,179000
5627,1262,218,Current,491000
5628,1107,203,Savings,270000
5629,1225,211,Savings,364000
5630,1908,202,Savings,171000
5631,1592,206,Current,465000
5632,1852,220,Current,31000
5633,1149,207,Current,161000
5634,1829,219,Savings,180000
5635,1360,208,Savings,203000
5636,1908,213,Savings,75000
5637,1484,202,Current,317000
5638,1173,203,Current,5000
5639,1908,218,Current,143000
5640,1862,213,Current,408000
5641,1094,206,Current,140000
5642,1275,212,Current,93000
5643,1066,208,Current,111000
5644,1680,210,Savings,423000
5645,1301,202,Savings,221000
5646,1034,219,Savings,295000
5647,1581,201,Savings,467000
5648,1691,218,Current,272000
5649,1454,205,Savings,338000
5650,1243,215,Current,409000
5651,1809,215,Current,331000
5652,1688,219,Savings,265000
5653,1382,216,Current,191000
5654,1414,204,Current,83000
5655,1289,218,Savings,264000
5656,1673,204,Current,297000
5657,1353,211,Current,60000
5658,1160,203,Savings,348000
5659,1179,204,Savings,448000
5660,1435,205,Savings,476000
5661,1286,204,Current,410000
5662,1993,205,Current,218000
5663,1935,209,Savings,174000
5664,1025,204,Current,225000
5665,1293,208,Savings,298000
5666,1524,203,Current,377000
5667,1422,201,Current,405000
5668,1692,216,Current,170000
5669,1474,203,Savings,110000
5670,1261,204,Current,214000
5671,1922,210,Savings,17000
5672,1400,213,Savings,343000
5673,1810,205,Savings,392000
5674,1985,208,Savings,79000
5675,1135,220,Current,14000
5676,1036,219,Current,127000
5677,1250,208,Savings,494000
5678,1914,212,Savings,351000
5679,1811,217,Savings,106000
5680,1881,214,Savings,21000
5681,1967,211,Current,427000
5682,1853,215,Current,462000
5683,1095,206,Current,226000
5684,1612,202,Current,305000
5685,1694,212,Savings,93000
5686,1536,202,Savings,282000
5687,1778,203,Current,189000
5688,1459,213,Current,287000
5689,1503,205,Current,272000
5690,1704,206,Savings,179000
5691,1790,216,Current,299000
5692,1765,209,Savings,37000
5693,1258,210,Current,327000
5694,1999,208,Current,25000
5695,1364,216,Savings,414000
5696,1432,209,Current,8000
5697,1245,219,Savings,33000
5698,1362,205,Current,135000
5699,1625,218,Savings,416000
5700,1183,220,Savings,373000
5701,1978,220,Savings,41000
5702,1562,215,Current,326000
5703,1750,220,Current,158000
5704,1987,201,Current,118000
5705,1226,211,Current,318000
5706,1944,213,Savings,93000
5707,1263,209,Current,428000
5708,1958,219,Current,168000
5709,1973,206,Current,244000
5710,1614,212,Savings,344000
5711,1580,201,Savings,269000
5712,1559,202,Savings,492000
5713,1980,207,Current,311000
5714,1049,216,Savings,354000
5715,1714,213,Savings,205000
5716,1594,210,Current,294000
5717,1721,215,Current,117000
5718,1118,216,Current,47000
5719,1631,204,Current,250000
5720,1060,206,Current,181000
5721,1425,218,Savings,56000
5722,1293,219,Current,11000
5723,1860,216,Current,401000
5724,1517,218,Current,350000
5725,1390,212,Current,452000
5726,1558,203,Current,316000
5727,1018,218,Savings,28000
5728,1337,207,Savings,407000
5729,1938,213,Current,448000
5730,1088,219,Current,319000
5731,1461,212,Savings,271000
5732,1147,220,Current,113000
5733,1543,201,Current,422000
5734,1190,202,Current,346000
5735,1068,209,Savings,114000
5736,1928,218,Savings,91000
5737,1361,205,Current,464000
5738,1095,207,Savings,357000
5739,1507,206,Current,28000
5740,1190,215,Savings,155000
5741,1338,210,Savings,283000
5742,1116,219,Current,455000
5743,1810,215,Current,489000
5744,1554,206,Savings,339000
5745,1002,205,Savings,171000
5746,1283,203,Savings,356000
5747,1875,208,Current,83000
5748,1148,214,Current,370000
5749,1665,210,Savings,78000
5750,1145,218,Savings,348000
5751,1352,214,Current,443000
5752,1733,206,Savings,41000
5753,1098,205,Savings,236000
5754,1064,201,Current,329000
5755,1659,215,Current,409000
5756,1867,220,Current,22000
5757,1802,202,Savings,195000
5758,1518,208,Current,252000
5759,1092,202,Current,346000
5760,1646,207,Current,133000
5761,1235,210,Current,58000
5762,1693,203,Current,379000
5763,1088,212,Current,414000
5764,1927,217,Savings,68000
5765,1419,207,Current,461000
5766,1012,219,Current,424000
5767,1450,204,Savings,11000
5768,1345,208,Savings,99000
5769,1831,220,Current,273000
5770,1203,202,Savings,449000
5771,1078,220,Savings,469000
5772,1085,215,Current,324000
5773,1862,207,Current,155000
5774,1894,216,Current,80000
5775,1535,211,Current,345000
5776,1607,212,Current,307000
5777,1714,210,Savings,332000
5778,1920,214,Current,307000
5779,1229,201,Current,202000
5780,1225,207,Current,253000
5781,1490,220,Current,10000
5782,1840,213,Current,181000
5783,1121,211,Savings,455000
5784,1889,202,Savings,14000
5785,1077,217,Savings,491000
5786,1858,218,Current,18000
5787,1660,207,Current,42000
5788,1183,207,Current,204000
5789,1127,220,Savings,496000
5790,1413,208,Savings,136000
5791,1007,205,Savings,314000
5792,1270,204,Savings,431000
5793,1221,211,Current,405000
5794,1595,208,Savings,331000
5795,1997,215,Current,335000
5796,1486,208,Current,265000
5797,1334,207,Current,333000
5798,1093,203,Savings,166000
5799,1681,218,Current,16000
5800,1330,220,Current,5000
5801,1470,203,Savings,491000
5802,1962,215,Current,410000
5803,1114,212,Current,378000
5804,1365,217,Savings,207000
5805,1364,216,Current,107000
5806,1350,206,Current,329000
5807,1058,212,Savings,300000
5808,1217,214,Current,56000
5809,1713,214,Savings,191000
5810,1175,210,Savings,305000
5811,1359,216,Current,105000
5812,1800,214,Current,141000
5813,1768,205,Current,260000
5814,1092,218,Current,173000
5815,1962,207,Savings,46000
5816,1509,205,Current,233000
5817,1254,212,Current,44000
5818,1372,220,Current,21000
5819,1319,213,Savings,291000
5820,1213,211,Current,276000
5821,1830,220,Current,444000
5822,1392,210,Current,338000
5823,1735,220,Current,308000
5824,1634,202,Current,17000
5825,1281,201,Current,421000
5826,1703,202,Savings,472000
5827,1126,201,Savings,29000
5828,1639,214,Savings,413000
5829,1561,203,Savings,134000
5830,1307,205,Current,319000
5831,1978,201,Current,266000
5832,1878,207,Savings,172000
5833,1359,210,Current,33000
5834,1388,206,Current,329000
5835,1088,211,Savings,402000
5836,1134,206,Savings,386000
5837,1677,204,Savings,204000
5838,1131,207,Current,196000
5839,1307,210,Savings,186000
5840,1076,215,Savings,276000
5841,1218,216,Current,246000
5842,1602,214,Savings,40000
5843,1087,207,Current,222000
5844,1368,220,Current,335000
5845,1467,216,Current,281000
5846,1485,205,Savings,110000
5847,1001,205,Current,165000
5848,1456,216,Savings,222000
5849,1698,205,Current,200000
5850,1217,220,Current,138000
5851,1845,215,Savings,86000
5852,1011,220,Savings,184000
5853,1236,217,Current,294000
5854,1967,209,Savings,102000
5855,1740,201,Current,422000
5856,1385,208,Savings,482000
5857,1270,210,Savings,277000
5858,1138,211,Current,388000
5859,1201,211,Current,187000
5860,1820,208,Savings,166000
5861,1793,214,Savings,343000
5862,1074,218,Current,79000
5863,1151,217,Savings,324000
5864,1590,206,Current,136000
5865,1790,211,Savings,152000
5866,1301,217,Current,61000
5867,1655,201,Savings,200000
5868,1744,205,Current,8000
5869,1376,206,Savings,218000
5870,1299,203,Savings,40000
5871,1099,213,Savings,185000
5872,1239,218,Savings,181000
5873,1694,203,Current,72000
5874,1135,210,Savings,450000
5875,1074,208,Current,366000
5876,1314,206,Savings,78000
5877,1453,205,Current,489000
5878,1071,203,Savings,464000
5879,1658,204,Savings,311000
5880,1562,219,Savings,62000
5881,1106,204,Savings,184000
5882,1433,212,Current,168000
5883,1732,220,Current,475000
5884,1074,211,Savings,245000
5885,1478,214,Current,412000
5886,1077,220,Current,201000
5887,1877,204,Savings,316000
5888,1680,204,Current,433000
5889,1566,206,Savings,347000
5890,1323,215,Savings,303000
5891,1401,209,Savings,18000
5892,1815,205,Current,17000
5893,1638,218,Current,131000
5894,1487,216,Savings,393000
5895,1956,220,Savings,355000
5896,1795,201,Current,471000
5897,1405,209,Current,67000
5898,1702,205,Savings,314000
5899,1676,202,Savings,20000
5900,1444,205,Savings,235000
5901,1611,213,Savings,278000
5902,1936,210,Savings,258000
5903,1571,201,Current,299000
5904,1006,218,Savings,304000
5905,1453,209,Current,405000
5906,1767,203,Savings,485000
5907,1935,217,Current,355000
5908,1980,219,Current,65000
5909,1627,205,Savings,283000
5910,1141,215,Savings,419000
5911,1833,204,Current,478000
5912,1573,219,Savings,89000
5913,1429,214,Current,37000
5914,1677,203,Current,217000
5915,1313,212,Savings,224000
5916,1512,220,Savings,489000
5917,1846,211,Current,421000
5918,1440,216,Savings,14000
5919,1979,210,Savings,60000
5920,1807,213,Current,248000
5921,1915,220,Current,475000
5922,1361,220,Current,131000
5923,1162,212,Current,469000
5924,1956,207,Savings,437000
5925,1885,217,Savings,127000
5926,1452,202,Savings,341000
5927,1714,212,Savings,175000
5928,1221,218,Savings,293000
5929,1784,210,Savings,398000
5930,1651,209,Current,25000
5931,1624,219,Current,347000
5932,1050,216,Savings,428000
5933,1544,214,Savings,486000
5934,1530,218,Current,375000
5935,1656,211,Savings,319000
5936,1972,213,Current,168000
5937,1667,212,Savings,6000
5938,1315,212,Savings,130000
5939,1286,206,Current,111000
5940,1389,218,Current,203000
5941,1941,216,Savings,355000
5942,1935,212,Current,76000
5943,1504,201,Savings,125000
5944,1514,212,Savings,345000
5945,1629,205,Current,187000
5946,1107,212,Savings,35000
5947,1434,208,Current,333000
5948,1730,208,Current,418000
5949,1355,211,Current,42000
5950,1314,205,Current,216000
5951,1460,210,Savings,103000
5952,1031,202,Savings,46000
5953,1246,205,Current,385000
5954,1190,216,Savings,130000
5955,1508,205,Savings,238000
5956,1209,215,Savings,279000
5957,1466,203,Savings,57000
5958,1208,214,Savings,206000
5959,1073,204,Savings,423000
5960,1166,215,Current,408000
5961,1043,210,Savings,227000
5962,1471,219,Savings,244000
5963,1386,204,Current,466000
