transaction_id,account_id,transaction_type,amount,transaction_date
10063,6481,Transfer,58000,2026-07-30
10064,5950,Deposit,72500,2026-07-30
10065,5032,Deposit,1000,2026-07-30
10066,5010,Deposit,73000,2026-07-30
10067,5540,Deposit,45500,2026-07-30
10068,6177,Transfer,97000,2026-07-30
10069,5902,Deposit,9500,2026-07-30
10070,5794,Transfer,55000,2026-07-30
10071,5839,Deposit,97500,2026-07-30
10072,6304,Transfer,44500,2026-07-30
10073,5833,Deposit,10500,2026-07-30
10074,5840,Transfer,20000,2026-07-30
10075,5879,Withdrawal,34000,2026-07-30
10076,6301,Deposit,39000,2026-07-30
10077,6161,Deposit,72500,2026-07-30
10078,5243,Deposit,71000,2026-07-30
10079,6385,Deposit,83500,2026-07-30
10080,5003,Transfer,31500,2026-07-30
10081,5981,Withdrawal,97000,2026-07-30
10082,5766,Transfer,86500,2026-07-30
10083,6035,Deposit,45000,2026-07-30
10084,5811,Transfer,64500,2026-07-30
10085,6447,Transfer,49000,2026-07-30
10086,5837,Withdrawal,49000,2026-07-30
10087,5230,Deposit,49000,2026-07-30
10088,5072,Deposit,500,2026-07-30
10089,6216,Deposit,76500,2026-07-30
10090,6094,Deposit,11000,2026-07-30
10091,5592,Deposit,6500,2026-07-30
10092,6465,Withdrawal,55000,2026-07-30
10093,5237,Transfer,11000,2026-07-30
10094,5698,Transfer,31500,2026-07-30
10095,5001,Withdrawal,51000,2026-07-30
10096,5890,Transfer,83000,2026-07-30
10097,6399,Deposit,86000,2026-07-30
10098,6320,Deposit,64500,2026-07-30
10099,5380,Deposit,38500,2026-07-30
10100,5692,Deposit,82500,2026-07-30
10101,5537,Transfer,51500,2026-07-30
10102,6205,Transfer,57500,2026-07-30
10103,5939,Withdrawal,44500,2026-07-30
10104,6280,Deposit,84000,2026-07-30
10105,6474,Deposit,19500,2026-07-30
10106,5757,Transfer,16500,2026-07-30
10107,5744,Deposit,34500,2026-07-30
10108,5613,Deposit,99000,2026-07-30
10109,5763,Deposit,43500,2026-07-30
10110,5030,Withdrawal,77500,2026-07-30
10111,5814,Withdrawal,71000,2026-07-30
10112,6405,Withdrawal,43500,2026-07-30
10113,5238,Deposit,55000,2026-07-30
10114,5517,Withdrawal,57500,2026-07-30
10115,6202,Transfer,44000,2026-07-30
10116,6139,Withdrawal,20500,2026-07-30
10117,5005,Withdrawal,82000,2026-07-30
10118,6389,Deposit,52000,2026-07-30
10119,5966,Transfer,95500,2026-07-30
10120,6243,Withdrawal,87500,2026-07-30
10121,5383,Transfer,83500,2026-07-30
10122,5435,Withdrawal,86500,2026-07-30
10123,6280,Deposit,4500,2026-07-30
10124,5352,Deposit,500,2026-07-30
10125,5488,Transfer,11500,2026-07-30
10126,6276,Deposit,83500,2026-07-30
10127,5502,Deposit,44000,2026-07-30
10128,5371,Transfer,59000,2026-07-30
10129,5600,Transfer,90500,2026-07-30
10130,5329,Deposit,55500,2026-07-30
10131,5012,Withdrawal,11500,2026-07-30
10132,5949,Deposit,11500,2026-07-30
10133,6147,Deposit,40500,2026-07-30
10134,6197,Withdrawal,50000,2026-07-30
10135,5852,Withdrawal,24500,2026-07-30
10136,5888,Transfer,56000,2026-07-30
10137,5551,Deposit,38000,2026-07-30
10138,5833,Transfer,80500,2026-07-30
10139,5668,Withdrawal,34000,2026-07-30
10140,5657,Withdrawal,89500,2026-07-30
10141,5867,Withdrawal,12000,2026-07-30
10142,5782,Withdrawal,86500,2026-07-30
10143,6213,Deposit,15000,2026-07-30
10144,5490,Deposit,21500,2026-07-30
10145,5720,Deposit,48500,2026-07-30
10146,6381,Withdrawal,81000,2026-07-30
10147,5640,Withdrawal,96000,2026-07-30
10148,5739,Withdrawal,29000,2026-07-30
10149,5604,Transfer,10000,2026-07-30
10150,6184,Withdrawal,65500,2026-07-30
10151,5778,Deposit,49000,2026-07-30
10152,5039,Transfer,45000,2026-07-30
10153,5778,Transfer,42500,2026-07-30
10154,5470,Deposit,98500,2026-07-30
10155,5874,Withdrawal,47500,2026-07-30
10156,6209,Transfer,55500,2026-07-30
10157,6118,Deposit,86500,2026-07-30
10158,5692,Transfer,67000,2026-07-30
10159,5992,Transfer,93500,2026-07-30
10160,6295,Withdrawal,79500,2026-07-30
10161,5955,Deposit,52000,2026-07-30
10162,5771,Withdrawal,73500,2026-07-30
10163,5018,Transfer,3000,2026-07-30
10164,5344,Withdrawal,26000,2026-07-30
10165,6381,Transfer,43500,2026-07-30
10166,5795,Transfer,97000,2026-07-30
10167,5539,Withdrawal,85000,2026-07-30
10168,6114,Deposit,9000,2026-07-30
10169,5786,Transfer,52000,2026-07-30
10170,6137,Transfer,48500,2026-07-30
10171,5082,Deposit,96500,2026-07-30
10172,6417,Deposit,78500,2026-07-30
10173,5856,Transfer,91500,2026-07-30
10174,5926,Transfer,49500,2026-07-30
10175,5330,Transfer,32000,2026-07-30
10176,5277,Withdrawal,74500,2026-07-30
10177,6288,Deposit,27000,2026-07-30
10178,5625,Deposit,33500,2026-07-30
10179,5250,Transfer,15000,2026-07-30
10180,6236,Deposit,31500,2026-07-30
10181,5990,Transfer,92000,2026-07-30
10182,5666,Deposit,99000,2026-07-30
10183,5964,Transfer,60000,2026-07-30
10184,5495,Withdrawal,91500,2026-07-30
10185,5632,Withdrawal,49000,2026-07-30
10186,5743,Deposit,76000,2026-07-30
10187,6139,Withdrawal,29000,2026-07-30
10188,5706,Withdrawal,47500,2026-07-30
10189,5364,Withdrawal,79000,2026-07-30
10190,5553,Deposit,3000,2026-07-30
10191,5606,Deposit,26500,2026-07-30
10192,5729,Deposit,14500,2026-07-30
10193,6460,Withdrawal,76500,2026-07-30
10194,6255,Transfer,39000,2026-07-30
10195,5274,Transfer,43000,2026-07-30
10196,5160,Withdrawal,73500,2026-07-30
10197,6308,Deposit,30000,2026-07-30
10198,5320,Withdrawal,9500,2026-07-30
10199,5520,Withdrawal,72000,2026-07-30
10200,5303,Deposit,64500,2026-07-30
10201,6104,Transfer,13000,2026-07-30
10202,5080,Withdrawal,5000,2026-07-30
10203,5024,Transfer,56000,2026-07-30
10204,6370,Transfer,67000,2026-07-30
10205,5199,Transfer,68500,2026-07-30
10206,5185,Deposit,98000,2026-07-30
10207,5736,Withdrawal,15500,2026-07-30
10208,5784,Transfer,33000,2026-07-30
10209,5349,Deposit,62000,2026-07-30
10210,5125,Withdrawal,31000,2026-07-30
10211,5035,Transfer,32000,2026-07-30
10212,5232,Deposit,47000,2026-07-30
10213,5536,Transfer,56500,2026-07-30
10214,5112,Transfer,8500,2026-07-30
10215,6316,Withdrawal,5000,2026-07-30
10216,6025,Withdrawal,22000,2026-07-30
10217,5040,Withdrawal,73000,2026-07-30
10218,5355,Withdrawal,86000,2026-07-30
10219,6269,Withdrawal,39500,2026-07-30
10220,6193,Deposit,79000,2026-07-30
10221,5406,Transfer,95000,2026-07-30
10222,6026,Withdrawal,70500,2026-07-30
10223,5142,Transfer,38500,2026-07-30
10224,6464,Withdrawal,24500,2026-07-30
10225,6211,Transfer,17000,2026-07-30
10226,6431,Withdrawal,10000,2026-07-30
10227,5465,Deposit,57000,2026-07-30
10228,5914,Withdrawal,68000,2026-07-30
10229,5730,Withdrawal,97000,2026-07-30
10230,5250,Deposit,9500,2026-07-30
10231,6051,Withdrawal,86500,2026-07-30
10232,6141,Withdrawal,50000,2026-07-30
10233,5619,Withdrawal,92500,2026-07-30
10234,5690,Deposit,47000,2026-07-30
10235,6243,Withdrawal,83000,2026-07-30
10236,5463,Deposit,71000,2026-07-30
10237,5434,Deposit,37500,2026-07-30
10238,6390,Transfer,58000,2026-07-30
10239,5692,Withdrawal,59500,2026-07-30
10240,5068,Deposit,87500,2026-07-30
10241,5308,Withdrawal,12500,2026-07-30
10242,5971,Deposit,21000,2026-07-30
10243,5216,Deposit,7000,2026-07-30
10244,5268,Transfer,98500,2026-07-30
10245,6161,Transfer,76000,2026-07-30
10246,5568,Transfer,91500,2026-07-30
10247,5522,Transfer,26000,2026-07-30
10248,5791,Deposit,53000,2026-07-30
10249,5559,Withdrawal,91500,2026-07-30
10250,6489,Transfer,96000,2026-07-30
10251,5529,Transfer,78500,2026-07-30
10252,5858,Withdrawal,58000,2026-07-30
10253,6396,Transfer,7000,2026-07-30
10254,5429,Deposit,73000,2026-07-30
10255,6101,Withdrawal,56500,2026-07-30
10256,5626,Transfer,80500,2026-07-30
10257,5050,Transfer,13000,2026-07-30
10258,5746,Withdrawal,12500,2026-07-30
10259,5168,Deposit,23000,2026-07-30
10260,6069,Transfer,20000,2026-07-30
10261,6421,Withdrawal,79500,2026-07-30
10262,5516,Deposit,22000,2026-07-30
10263,5472,Transfer,64000,2026-07-30
10264,5947,Withdrawal,18500,2026-07-30
10265,6103,Deposit,65000,2026-07-30
10266,6086,Withdrawal,98500,2026-07-30
10267,6036,Transfer,31000,2026-07-30
10268,5705,Transfer,32000,2026-07-30
10269,5704,Withdrawal,64000,2026-07-30
10270,6175,Withdrawal,26500,2026-07-30
10271,5670,Transfer,18000,2026-07-30
10272,6151,Withdrawal,71000,2026-07-30
10273,6370,Withdrawal,2500,2026-07-30
10274,6204,Transfer,58500,2026-07-30
10275,5416,Deposit,60000,2026-07-30
10276,6369,Transfer,68000,2026-07-30
10277,5793,Withdrawal,2000,2026-07-30
10278,6287,Transfer,94000,2026-07-30
10279,5316,Deposit,5500,2026-07-30
10280,5397,Withdrawal,3500,2026-07-30
10281,5319,Deposit,65000,2026-07-30
10282,5985,Transfer,25500,2026-07-30
10283,6128,Deposit,66000,2026-07-30
10284,6181,Deposit,25000,2026-07-30
10285,6459,Withdrawal,57500,2026-07-30
10286,5190,Transfer,84500,2026-07-30
10287,5488,Transfer,29500,2026-07-30
10288,5806,Transfer,78000,2026-07-30
10289,6433,Transfer,73000,2026-07-30
10290,5464,Deposit,2500,2026-07-30
10291,5187,Transfer,88000,2026-07-30
10292,6143,Transfer,65000,2026-07-30
10293,6024,Transfer,54000,2026-07-30
10294,6446,Deposit,43000,2026-07-30
10295,5206,Transfer,42500,2026-07-30
10296,5487,Withdrawal,35000,2026-07-30
10297,5004,Transfer,12000,2026-07-30
10298,5199,Deposit,16500,2026-07-30
10299,5033,Transfer,62500,2026-07-30
10300,5511,Withdrawal,16000,2026-07-30
10301,5746,Transfer,52000,2026-07-30
10302,6104,Deposit,40000,2026-07-30
10303,5032,Deposit,7500,2026-07-30
10304,6091,Withdrawal,28000,2026-07-30
10305,5430,Withdrawal,1000,2026-07-30
10306,5305,Transfer,65500,2026-07-30
10307,5497,Transfer,22000,2026-07-30
10308,6327,Transfer,20500,2026-07-30
10309,5033,Transfer,25500,2026-07-30
10310,5040,Deposit,38500,2026-07-30
10311,5783,Withdrawal,79500,2026-07-30
10312,5680,Withdrawal,2500,2026-07-30
10313,5816,Transfer,96000,2026-07-30
10314,5701,Transfer,88500,2026-07-30
10315,5377,Withdrawal,99500,2026-07-30
10316,5919,Withdrawal,9500,2026-07-30
10317,6051,Transfer,48500,2026-07-30
10318,5381,Withdrawal,18000,2026-07-30
10319,5937,Withdrawal,6500,2026-07-30
10320,5421,Withdrawal,59500,2026-07-30
10321,5614,Deposit,90500,2026-07-30
10322,5064,Transfer,59000,2026-07-30
10323,5864,Deposit,90000,2026-07-30
10324,5669,Transfer,76500,2026-07-30
10325,5984,Deposit,60000,2026-07-30
10326,6311,Deposit,29000,2026-07-30
10327,5319,Deposit,83000,2026-07-30
10328,5925,Withdrawal,95500,2026-07-30
10329,6153,Transfer,81000,2026-07-30
10330,5582,Withdrawal,77000,2026-07-30
10331,5440,Transfer,98000,2026-07-30
10332,5959,Deposit,15500,2026-07-30
10333,5818,Withdrawal,72500,2026-07-30
10334,5115,Withdrawal,26000,2026-07-30
10335,5056,Deposit,24000,2026-07-30
10336,5645,Transfer,92500,2026-07-30
10337,5994,Deposit,71000,2026-07-30
10338,5603,Transfer,18000,2026-07-30
10339,5855,Transfer,92000,2026-07-30
10340,6306,Withdrawal,6000,2026-07-30
10341,5003,Deposit,65500,2026-07-30
10342,5777,Withdrawal,41000,2026-07-30
10343,5582,Withdrawal,16000,2026-07-30
10344,5570,Transfer,24000,2026-07-30
10345,5951,Withdrawal,82500,2026-07-30
10346,5064,Transfer,69500,2026-07-30
10347,5087,Deposit,24500,2026-07-30
10348,5551,Transfer,81500,2026-07-30
10349,6201,Transfer,33500,2026-07-30
10350,6496,Withdrawal,78500,2026-07-30
10351,5520,Withdrawal,9500,2026-07-30
10352,5440,Withdrawal,90500,2026-07-30
10353,5848,Withdrawal,23500,2026-07-30
10354,5285,Transfer,34500,2026-07-30
10355,5445,Deposit,33500,2026-07-30
10356,5279,Deposit,87500,2026-07-30
10357,5457,Transfer,74500,2026-07-30
10358,5264,Deposit,65000,2026-07-30
10359,6156,Deposit,67500,2026-07-30
10360,5608,Transfer,67500,2026-07-30
10361,6046,Transfer,80500,2026-07-30
10362,5365,Transfer,92000,2026-07-30
10363,5325,Transfer,80500,2026-07-30
10364,5661,Withdrawal,62000,2026-07-30
10365,5544,Withdrawal,36500,2026-07-30
10366,6040,Deposit,21000,2026-07-30
10367,5063,Transfer,95500,2026-07-30
10368,5925,Transfer,24000,2026-07-30
10369,5789,Withdrawal,33000,2026-07-30
10370,6093,Withdrawal,54000,2026-07-30
10371,5970,Deposit,19500,2026-07-30
10372,6352,Transfer,21500,2026-07-30
10373,5580,Withdrawal,58000,2026-07-30
10374,6320,Transfer,88500,2026-07-30
10375,6029,Withdrawal,79500,2026-07-30
10376,6163,Withdrawal,98000,2026-07-30
10377,5078,Deposit,34500,2026-07-30
10378,6323,Withdrawal,25000,2026-07-30
10379,5324,Transfer,9000,2026-07-30
10380,5740,Withdrawal,54000,2026-07-30
10381,5009,Transfer,39500,2026-07-30
10382,5110,Deposit,14500,2026-07-30
10383,5735,Withdrawal,90000,2026-07-30
10384,5377,Transfer,75000,2026-07-30
10385,5075,Transfer,72500,2026-07-30
10386,5422,Withdrawal,45500,2026-07-30
10387,6470,Deposit,47500,2026-07-30
10388,5826,Transfer,25500,2026-07-30
10389,5625,Deposit,23000,2026-07-30
10390,5353,Deposit,41000,2026-07-30
10391,5976,Deposit,85000,2026-07-30
10392,5223,Withdrawal,1000,2026-07-30
10393,6463,Deposit,83500,2026-07-30
10394,5964,Withdrawal,37000,2026-07-30
10395,5910,Withdrawal,96000,2026-07-30
10396,5937,Withdrawal,88500,2026-07-30
10397,6465,Transfer,21500,2026-07-30
10398,5239,Deposit,10000,2026-07-30
10399,5025,Deposit,91500,2026-07-30
10400,5079,Transfer,3500,2026-07-30
10401,5092,Transfer,23000,2026-07-30
10402,6044,Withdrawal,39500,2026-07-30
10403,5608,Transfer,77500,2026-07-30
10404,6280,Transfer,56500,2026-07-30
10405,5148,Withdrawal,62500,2026-07-30
10406,5766,Withdrawal,75000,2026-07-30
10407,6190,Deposit,14000,2026-07-30
10408,6232,Transfer,84500,2026-07-30
10409,5580,Deposit,68000,2026-07-30
10410,5576,Deposit,63000,2026-07-30
10411,5014,Transfer,39500,2026-07-30
10412,5966,Deposit,19500,2026-07-30
10413,5592,Transfer,90000,2026-07-30
10414,6134,Transfer,60000,2026-07-30
10415,5948,Withdrawal,34000,2026-07-30
10416,5438,Withdrawal,76500,2026-07-30
10417,5039,Transfer,17500,2026-07-30
10418,5306,Withdrawal,85000,2026-07-30
10419,5899,Transfer,11000,2026-07-30
10420,5357,Deposit,3500,2026-07-30
10421,5834,Withdrawal,17500,2026-07-30
10422,6161,Withdrawal,19500,2026-07-30
10423,5230,Transfer,19500,2026-07-30
10424,5619,Withdrawal,3000,2026-07-30
10425,5789,Withdrawal,13500,2026-07-30
10426,5437,Deposit,89500,2026-07-30
10427,5968,Withdrawal,56500,2026-07-30
10428,6358,Transfer,58000,2026-07-30
10429,5741,Deposit,92500,2026-07-30
10430,5128,Deposit,8000,2026-07-30
10431,6364,Transfer,18000,2026-07-30
10432,5113,Transfer,34000,2026-07-30
10433,5822,Transfer,70500,2026-07-30
10434,6383,Withdrawal,57500,2026-07-30
10435,5772,Transfer,14000,2026-07-30
10436,6029,Transfer,85000,2026-07-30
10437,5522,Withdrawal,13000,2026-07-30
10438,5708,Transfer,15500,2026-07-30
10439,5334,Withdrawal,49000,2026-07-30
10440,5634,Withdrawal,11500,2026-07-30
10441,5924,Transfer,82000,2026-07-30
10442,5910,Deposit,69000,2026-07-30
10443,6197,Transfer,79500,2026-07-30
10444,5496,Transfer,99500,2026-07-30
10445,5106,Transfer,80500,2026-07-30
10446,5693,Deposit,500,2026-07-30
10447,6333,Deposit,6500,2026-07-30
10448,5756,Withdrawal,63500,2026-07-30
10449,5618,Transfer,88500,2026-07-30
10450,6298,Deposit,74500,2026-07-30
10451,5638,Withdrawal,92500,2026-07-30
10452,5480,Deposit,24000,2026-07-30
10453,5033,Deposit,42500,2026-07-30
10454,5287,Deposit,88500,2026-07-30
10455,5260,Deposit,72500,2026-07-30
10456,5416,Deposit,23000,2026-07-30
10457,6112,Transfer,11000,2026-07-30
10458,5108,Transfer,28000,2026-07-30
10459,5741,Transfer,47500,2026-07-30
10460,6041,Transfer,77000,2026-07-30
10461,5080,Deposit,55500,2026-07-30
10462,6241,Transfer,15500,2026-07-30
10463,6430,Withdrawal,85000,2026-07-30
10464,5860,Deposit,35000,2026-07-30
10465,5209,Withdrawal,51000,2026-07-30
10466,5659,Deposit,97000,2026-07-30
10467,5553,Deposit,23500,2026-07-30
10468,6110,Deposit,84500,2026-07-30
10469,5220,Transfer,67000,2026-07-30
10470,5550,Transfer,26000,2026-07-30
10471,5720,Deposit,22000,2026-07-30
10472,5587,Withdrawal,90000,2026-07-30
10473,5185,Transfer,87500,2026-07-30
10474,6250,Transfer,53500,2026-07-30
10475,5878,Deposit,42500,2026-07-30
10476,5727,Transfer,17500,2026-07-30
10477,6269,Deposit,80000,2026-07-30
10478,6065,Deposit,96000,2026-07-30
10479,5861,Transfer,34500,2026-07-30
10480,6172,Deposit,30500,2026-07-30
10481,5902,Transfer,51500,2026-07-30
10482,5475,Deposit,36000,2026-07-30
10483,5155,Withdrawal,14500,2026-07-30
10484,5731,Withdrawal,55500,2026-07-30
10485,6185,Withdrawal,27000,2026-07-30
10486,6349,Deposit,28000,2026-07-30
10487,6313,Deposit,18500,2026-07-30
10488,5597,Withdrawal,61500,2026-07-30
10489,5111,Deposit,46500,2026-07-30
10490,5897,Transfer,76000,2026-07-30
10491,5447,Deposit,15000,2026-07-30
10492,5770,Transfer,11500,2026-07-30
10493,5296,Deposit,43000,2026-07-30
10494,6061,Withdrawal,22500,2026-07-30
10495,5282,Transfer,12000,2026-07-30
10496,5103,Withdrawal,75500,2026-07-30
10497,5040,Deposit,47500,2026-07-30
10498,5593,Deposit,12000,2026-07-30
10499,5937,Deposit,46000,2026-07-30
10500,6000,Withdrawal,4500,2026-07-30
10501,6431,Withdrawal,44500,2026-07-30
10502,6398,Transfer,72500,2026-07-30
10503,5887,Transfer,79500,2026-07-30
10504,6383,Deposit,29000,2026-07-30
10505,5904,Transfer,9000,2026-07-30
10506,6073,Withdrawal,36000,2026-07-30
10507,6390,Deposit,38000,2026-07-30
10508,5256,Withdrawal,57500,2026-07-30
10509,6192,Transfer,9000,2026-07-30
10510,5050,Withdrawal,45500,2026-07-30
10511,6124,Withdrawal,5500,2026-07-30
10512,6151,Withdrawal,92500,2026-07-30
10513,6295,Deposit,45000,2026-07-30
10514,5992,Transfer,500,2026-07-30
10515,6008,Withdrawal,15000,2026-07-30
10516,5877,Deposit,27000,2026-07-30
10517,5198,Transfer,35000,2026-07-30
10518,6471,Withdrawal,85500,2026-07-30
10519,6330,Transfer,51500,2026-07-30
10520,5451,Deposit,99000,2026-07-30
10521,6176,Transfer,60000,2026-07-30
10522,5939,Withdrawal,14500,2026-07-30
10523,6217,Transfer,17000,2026-07-30
10524,6303,Withdrawal,80500,2026-07-30
10525,6373,Deposit,13000,2026-07-30
10526,5887,Deposit,15500,2026-07-30
10527,5369,Deposit,86500,2026-07-30
10528,5471,Transfer,80000,2026-07-30
10529,5139,Withdrawal,43000,2026-07-30
10530,5953,Deposit,62500,2026-07-30
10531,6235,Deposit,61000,2026-07-30
10532,5902,Deposit,59500,2026-07-30
10533,5060,Transfer,81500,2026-07-30
10534,5870,Withdrawal,72500,2026-07-30
10535,5530,Withdrawal,44500,2026-07-30
10536,5666,Withdrawal,99000,2026-07-30
10537,5485,Deposit,75500,2026-07-30
10538,6098,Withdrawal,23000,2026-07-30
10539,6222,Withdrawal,87000,2026-07-30
10540,5861,Withdrawal,81000,2026-07-30
10541,5155,Transfer,100000,2026-07-30
10542,5862,Withdrawal,23500,2026-07-30
10543,6331,Withdrawal,86500,2026-07-30
10544,5452,Withdrawal,36500,2026-07-30
10545,5993,Deposit,93500,2026-07-30
10546,5912,Transfer,17000,2026-07-30
10547,5047,Deposit,66000,2026-07-30
10548,5347,Withdrawal,11000,2026-07-30
10549,6106,Withdrawal,59000,2026-07-30
10550,5602,Deposit,21500,2026-07-30
10551,5736,Withdrawal,68500,2026-07-30
10552,5249,Withdrawal,63000,2026-07-30
10553,5157,Deposit,82000,2026-07-30
10554,5344,Withdrawal,16000,2026-07-30
10555,6456,Deposit,37000,2026-07-30
10556,6037,Transfer,11500,2026-07-30
10557,6125,Withdrawal,22000,2026-07-30
10558,6441,Transfer,64000,2026-07-30
10559,6179,Withdrawal,64000,2026-07-30
10560,5076,Deposit,47000,2026-07-30
10561,6117,Transfer,96500,2026-07-30
10562,5925,Transfer,32500,2026-07-30
10563,5647,Withdrawal,62500,2026-07-30
10564,5713,Transfer,67000,2026-07-30
10565,5170,Deposit,53000,2026-07-30
10566,5430,Deposit,4000,2026-07-30
10567,5360,Withdrawal,66500,2026-07-30
10568,5523,Deposit,73500,2026-07-30
10569,5596,Transfer,74000,2026-07-30
10570,6012,Deposit,86000,2026-07-30
10571,6254,Withdrawal,71500,2026-07-30
10572,5156,Deposit,55000,2026-07-30
10573,6120,Deposit,13500,2026-07-30
10574,6289,Withdrawal,76500,2026-07-30
10575,5505,Transfer,78500,2026-07-30
10576,6438,Transfer,57000,2026-07-30
10577,5177,Transfer,27000,2026-07-30
10578,5571,Withdrawal,73000,2026-07-30
10579,5634,Withdrawal,79500,2026-07-30
10580,5875,Withdrawal,18000,2026-07-30
10581,5625,Transfer,18500,2026-07-30
10582,5547,Transfer,54000,2026-07-30
10583,5265,Deposit,44500,2026-07-30
10584,6494,Withdrawal,23500,2026-07-30
10585,5652,Transfer,60500,2026-07-30
10586,5098,Transfer,65000,2026-07-30
10587,5441,Deposit,37000,2026-07-30
10588,5053,Deposit,85500,2026-07-30
10589,6087,Deposit,80500,2026-07-30
10590,5064,Withdrawal,40000,2026-07-30
10591,5637,Transfer,72500,2026-07-30
10592,6360,Deposit,58000,2026-07-30
10593,5344,Deposit,75500,2026-07-30
10594,5748,Withdrawal,100000,2026-07-30
10595,5835,Deposit,68000,2026-07-30
10596,5283,Transfer,48000,2026-07-30
10597,5789,Transfer,21500,2026-07-30
10598,6335,Transfer,51500,2026-07-30
10599,5712,Deposit,40500,2026-07-30
10600,6189,Transfer,15500,2026-07-30
10601,5543,Withdrawal,67000,2026-07-30
10602,6442,Deposit,48500,2026-07-30
10603,5227,Deposit,71000,2026-07-30
10604,5141,Deposit,34000,2026-07-30
10605,5936,Transfer,82500,2026-07-30
10606,5924,Withdrawal,14000,2026-07-30
10607,6258,Withdrawal,71000,2026-07-30
10608,5635,Withdrawal,43500,2026-07-30
10609,6006,Transfer,57000,2026-07-30
10610,5911,Deposit,21000,2026-07-30
10611,5496,Transfer,73500,2026-07-30
10612,5049,Transfer,75500,2026-07-30
10613,5272,Transfer,9000,2026-07-30
10614,5480,Transfer,26500,2026-07-30
10615,5356,Transfer,67500,2026-07-30
10616,5036,Deposit,88000,2026-07-30
10617,5328,Withdrawal,55000,2026-07-30
10618,6041,Deposit,27500,2026-07-30
10619,5277,Withdrawal,71500,2026-07-30
10620,5091,Withdrawal,79500,2026-07-30
10621,5926,Transfer,51500,2026-07-30
10622,5051,Withdrawal,56500,2026-07-30
10623,5584,Transfer,86500,2026-07-30
10624,6453,Transfer,66500,2026-07-30
10625,6451,Withdrawal,11500,2026-07-30
10626,5610,Transfer,88000,2026-07-30
10627,5381,Deposit,22500,2026-07-30
10628,5748,Withdrawal,98000,2026-07-30
10629,6215,Deposit,87000,2026-07-30
10630,5816,Deposit,28500,2026-07-30
10631,5594,Withdrawal,93500,2026-07-30
10632,5129,Deposit,41000,2026-07-30
10633,6460,Transfer,26500,2026-07-30
10634,6255,Withdrawal,4500,2026-07-30
10635,6266,Transfer,24500,2026-07-30
10636,5907,Withdrawal,2000,2026-07-30
10637,5786,Withdrawal,67000,2026-07-30
10638,6303,Deposit,38000,2026-07-30
10639,6337,Deposit,26000,2026-07-30
10640,5598,Transfer,97500,2026-07-30
10641,5819,Transfer,23000,2026-07-30
10642,6341,Withdrawal,5000,2026-07-30
10643,6199,Transfer,59000,2026-07-30
10644,5950,Transfer,82000,2026-07-30
10645,5022,Deposit,31500,2026-07-30
