loan_id,customer_id,loan_type,loan_amount,loan_status
7130,1735,Personal,4550000,Closed
7131,1092,Education,690000,Closed
7132,1877,Home,360000,Closed
7133,1083,Education,5000000,Closed
7134,1821,Education,4980000,Active
7135,1488,Home,930000,Active
7136,1720,Personal,1910000,Active
7137,1017,Home,4450000,Closed
7138,1958,Personal,1620000,Closed
7139,1302,Personal,1390000,Active
7140,1245,Education,4800000,Active
7141,1602,Education,1060000,Closed
7142,1640,Personal,4480000,Active
7143,1178,Personal,1360000,Closed
7144,1124,Car,430000,Active
7145,1865,Education,3560000,Closed
7146,1607,Car,3800000,Active
7147,1640,Home,4290000,Closed
7148,1405,Car,1680000,Closed
7149,1795,Home,2440000,Active
7150,1624,Home,910000,Closed
7151,1847,Home,4290000,Closed
7152,1128,Home,3100000,Active
7153,1060,Education,4540000,Active
7154,1560,Education,760000,Active
7155,1206,Education,1360000,Active
7156,1532,Car,1240000,Closed
7157,1165,Education,4660000,Active
7158,1550,Personal,2220000,Active
7159,1308,Personal,2360000,Active
7160,1570,Education,1400000,Closed
7161,1379,Education,1390000,Closed
7162,1464,Personal,4310000,Active
7163,1095,Personal,400000,Active
7164,1031,Education,3360000,Active
7165,1056,Education,1540000,Active
7166,1521,Car,4570000,Active
7167,1373,Car,3010000,Active
7168,1583,Education,3650000,Active
7169,1932,Education,1000000,Active
7170,1173,Home,4730000,Closed
7171,1016,Car,4880000,Active
7172,1541,Personal,4640000,Active
7173,1708,Car,3820000,Active
7174,1125,Car,3540000,Active
7175,1579,Personal,2170000,Closed
7176,1671,Education,2030000,Closed
7177,1413,Education,2620000,Active
7178,1211,Car,4570000,Closed
7179,1788,Car,4800000,Closed
7180,1317,Education,5000000,Closed
7181,1299,Car,3740000,Active
7182,1458,Education,720000,Closed
7183,1602,Home,4610000,Closed
7184,1332,Home,4000000,Active
7185,1511,Education,720000,Active
7186,1348,Home,630000,Active
7187,1275,Home,2930000,Closed
7188,1013,Personal,2030000,Closed
7189,1538,Personal,4900000,Active
7190,1914,Car,1590000,Closed
7191,1797,Car,3800000,Closed
7192,1761,Home,4860000,Closed
7193,1293,Car,3210000,Active
7194,1520,Car,2630000,Closed
7195,1188,Education,2750000,Closed
7196,1058,Personal,4200000,Active
7197,1513,Car,3730000,Closed
7198,1739,Personal,3960000,Active
7199,1297,Personal,3010000,Closed
7200,1544,Car,3560000,Active
7201,1524,Home,850000,Active
7202,1933,Personal,890000,Closed
7203,1099,Education,4310000,Active
7204,1507,Personal,2670000,Closed
7205,1884,Personal,3170000,Closed
7206,1648,Home,4000000,Active
7207,1887,Car,1060000,Closed
7208,1282,Home,2460000,Closed
7209,1737,Education,210000,Active
7210,1574,Home,4220000,Closed
7211,1965,Car,230000,Active
7212,1956,Home,4000000,Active
7213,1852,Car,3700000,Closed
7214,1883,Education,2320000,Closed
7215,1290,Car,2830000,Closed
7216,1495,Personal,3790000,Closed
7217,1590,Education,3960000,Closed
7218,1899,Home,2050000,Closed
7219,1603,Car,1650000,Closed
7220,1026,Car,4930000,Active
7221,1203,Home,4350000,Active
7222,1109,Car,4130000,Closed
7223,1491,Education,2470000,Active
7224,1700,Personal,3860000,Closed
7225,1082,Car,3860000,Active
7226,1540,Education,1950000,Active
7227,1556,Car,3990000,Active
7228,1144,Education,1710000,Closed
7229,1960,Home,2230000,Closed
7230,1676,Education,3110000,Active
7231,1577,Car,1190000,Closed
7232,1708,Education,470000,Closed
7233,1616,Education,1750000,Closed
7234,1091,Personal,4110000,Closed
7235,1820,Car,2760000,Active
7236,1863,Personal,1990000,Closed
7237,1409,Car,3710000,Active
7238,1757,Education,2850000,Active
7239,1969,Personal,2350000,Closed
7240,1654,Car,4000000,Active
7241,1139,Car,1350000,Closed
7242,1841,Home,3780000,Closed
7243,1092,Home,3680000,Closed
7244,1516,Car,3510000,Active
7245,1534,Car,3950000,Closed
7246,1897,Personal,2500000,Active
7247,1290,Education,1580000,Active
7248,1051,Home,1780000,Closed
7249,1759,Home,3740000,Closed
7250,1106,Car,2500000,Closed
7251,1333,Car,730000,Closed
7252,1914,Education,420000,Closed
7253,1871,Home,3390000,Active
7254,1813,Home,1950000,Active
7255,1330,Home,3420000,Active
7256,1662,Home,3020000,Active
7257,1374,Car,1160000,Closed
7258,1046,Car,3130000,Closed
7259,1742,Car,4910000,Active
7260,1717,Home,4690000,Closed
7261,1389,Personal,2660000,Active
7262,1705,Home,1450000,Closed
7263,1102,Car,5000000,Closed
7264,1007,Education,2650000,Active
7265,1532,Car,4100000,Active
7266,1689,Home,1700000,Active
7267,1465,Home,4000000,Closed
7268,1148,Car,4040000,Closed
7269,1971,Education,2110000,Closed
7270,1122,Car,1570000,Closed
7271,1025,Home,4450000,Active
7272,1240,Home,3720000,Closed
7273,1299,Education,1640000,Active
7274,1140,Education,2790000,Closed
7275,1247,Personal,380000,Active
7276,1846,Personal,2890000,Closed
7277,1822,Home,770000,Active
7278,1435,Personal,1230000,Active
7279,1726,Home,4000000,Closed
7280,1793,Personal,3990000,Closed
7281,1010,Personal,4600000,Closed
7282,1540,Education,2210000,Closed
7283,1993,Home,3780000,Active
7284,1504,Home,2120000,Active
7285,1486,Personal,3160000,Closed
7286,1390,Personal,4730000,Closed
7287,1663,Personal,770000,Active
7288,1707,Home,3910000,Closed
7289,1563,Education,1940000,Closed
7290,1760,Education,3820000,Closed
7291,1785,Car,4940000,Closed
7292,1076,Car,1810000,Closed
7293,1537,Home,300000,Closed
7294,1351,Car,1040000,Active
7295,1394,Car,4220000,Active
7296,1761,Car,1100000,Closed
7297,1741,Education,3760000,Active
7298,1718,Personal,2900000,Active
7299,1172,Education,420000,Closed
7300,1283,Car,2000000,Closed
